song,days_on_chart,avg_rank,best_rank,worst_rank,rank_volatility,avg_popularity,duration_min,days_norm,rank_norm,volatility_norm,best_rank_norm,performance_score
Timeless (with Playboi Carti),60,10.083333333333334,1,27,6.919125218212972,90.7,4.266666666666667,0.11194029850746269,0.8991666666666667,0.7670209351582264,0.99,0.628589531326768
500lbs,186,24.827956989247312,12,50,10.007698286456016,83.39247311827957,2.4065,0.34701492537313433,0.7517204301075269,0.6630232703608552,0.88,0.6268597014543169
hey now (feat. dody6),4,5.0,5,5,0.0,68.25,3.624633333333333,0.007462686567164179,0.95,1.0,0.95,0.6251119402985074
APT.,39,9.051282051282051,1,21,5.296218700508574,94.71794871794872,2.83195,0.07276119402985075,0.9094871794871795,0.8216670401058753,0.99,0.6239536347415482
Pink Pony Club,148,21.66216216216216,12,47,8.74005094558079,86.53378378378379,4.300566666666667,0.27611940298507465,0.7833783783783784,0.7057071765935203,0.88,0.6173949411365607
man at the garden,4,6.25,4,8,1.707825127659933,68.5,3.886216666666667,0.007462686567164179,0.9375,0.9424945367214704,0.96,0.6169863939706546
Sailor Song,94,14.77659574468085,3,50,11.126983820047311,85.72340425531915,3.5329666666666673,0.17537313432835822,0.8522340425531915,0.625334966032931,0.97,0.6161960085118354
reincarnated,4,6.5,6,7,0.5773502691896258,68.25,4.595666666666666,0.007462686567164179,0.935,0.9805596052160065,0.94,0.6159179008201081
redrum,116,15.89655172413793,2,50,15.525227330321803,93.62068965517241,4.511616666666667,0.21641791044776118,0.8410344827586207,0.47723840358413017,0.98,0.6138321779806466
That’s So True,38,8.052631578947368,1,44,9.863795027629273,87.28947368421052,2.7716666666666665,0.0708955223880597,0.9194736842105263,0.6678687451299615,0.99,0.6114160968225012
St. Chroma (feat. Daniel Caesar),29,7.551724137931035,1,30,8.740652994961252,88.44827586206897,3.28365,0.054104477611940295,0.9244827586206896,0.7056869045363996,0.99,0.6110742231350605
TOPIA TWINS,3,7.0,4,10,3.0,55.666666666666664,3.71955,0.005597014925373134,0.9299999999999999,0.8989847455447789,0.96,0.6093574297783585
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch)",2,7.5,7,8,0.7071067811865476,81.0,2.187333333333333,0.0037313432835820895,0.925,0.9761904761904762,0.9299999999999999,0.6086750177683012
Bed Chem,96,16.260416666666668,6,50,10.625931331731193,89.86458333333333,2.8644833333333337,0.1791044776119403,0.8373958333333333,0.6422062809004891,0.94,0.6079957369208947
Suicide Doors,3,7.0,3,11,4.0,79.33333333333333,4.317983333333333,0.005597014925373134,0.9299999999999999,0.8653129940597052,0.97,0.6079902546298511
"dodger blue (feat. wallie the sensei, siete7x, roddy ricch))",1,8.0,8,8,0.0,77.0,2.187333333333333,0.0018656716417910447,0.92,1.0,0.92,0.6066529850746268
Fortnight (feat. Post Malone),103,18.95145631067961,1,48,13.098704202322276,92.30097087378641,3.8160833333333333,0.1921641791044776,0.810485436893204,0.5589436873229139,0.99,0.6048217343314798
TEXAS HOLD 'EM,64,13.671875,1,44,11.154121862513852,82.625,3.914209375,0.11940298507462686,0.86328125,0.6244211806112062,0.99,0.6043816003372401
Barbie World (with Aqua) [From Barbie The Album],104,18.75,1,50,13.995665070896028,92.00961538461539,1.8291666666666666,0.19402985074626866,0.8125,0.5287414438644626,0.99,0.6031595921476403
